id,name,year,season,status,type,comment,url,downloaded
165,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,2018,winter,completed,Movie,dl,https://myanimelist.net/anime/35608/Chuunibyou_demo_Koi_ga_Shitai_Movie__Take_On_Me,1
166,Hakumei to Mikochi,2018,winter,completed,TV,,https://myanimelist.net/anime/36094/Hakumei_to_Mikochi,1
167,Karakai Jouzu no Takagi-san,2018,winter,completed,TV,,https://myanimelist.net/anime/35860/Karakai_Jouzu_no_Takagi-san,1
168,Mitsuboshi Colors,2018,winter,completed,TV,dl,https://myanimelist.net/anime/35078/Mitsuboshi_Colors,1
169,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,2018,winter,completed,Movie,dl,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou,1
170,Slow Start,2018,winter,completed,TV,,https://myanimelist.net/anime/35540/Slow_Start,1
171,Sora yori mo Tooi Basho,2018,winter,completed,TV,dl,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho,1
172,Yuru Camp△,2018,winter,completed,TV,dl,,1
173,Alice or Alice,2018,spring,completed,Short TV,dl,https://myanimelist.net/anime/36001/Alice_or_Alice,1
174,Comic Girls,2018,spring,completed,TV,dl,https://myanimelist.net/anime/35756/Comic_Girls,1
175,Fumikiri Jikan,2018,spring,completed,Short TV,dl,https://myanimelist.net/anime/37188/Fumikiri_Jikan,1
176,Liz to Aoi Tori,2018,spring,completed,Movie,parent story of Hibike! Euphonium 2,https://myanimelist.net/anime/35677/Liz_to_Aoi_Tori,1
177,Wotaku ni Koi wa Muzukashii,2018,spring,completed,TV,dl,https://myanimelist.net/anime/35968/Wotaku_ni_Koi_wa_Muzukashii,1
178,Kimi no Suizou wo Tabetai,2018,summer,completed,Movie,dl,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,1
179,Mirai no Mirai,2018,summer,completed,Movie,dl,https://myanimelist.net/anime/36936/Mirai_no_Mirai,1
180,Non Non Biyori Movie: Vacation,2018,summer,completed,Movie,dl,https://myanimelist.net/anime/36990/Non_Non_Biyori_Movie__Vacation,1
181,Shingeki no Kyojin Season 3,2018,summer,completed,TV,dl,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,1
182,Goblin Slayer,2018,fall,completed,TV,dl,https://myanimelist.net/anime/37349/Goblin_Slayer,1
183,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,2018,fall,completed,Movie,dl,https://myanimelist.net/anime/36286/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_-_Memory_Snow,1
184,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,2018,fall,completed,TV,dl,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai,1
185,Tensei shitara Slime Datta Ken,2018,fall,completed,TV,dl,https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken,1
186,Zombieland Saga,2018,fall,completed,TV,dl,https://myanimelist.net/anime/37976/Zombieland_Saga,1
187,Hello!! Kiniro Mosaic,2018,other,completed,TV,,https://myanimelist.net/anime/23269/Hello_Kiniro_Mosaic,1
188,Hibike! Euphonium 2,2018,other,completed,TV,,https://myanimelist.net/anime/31988/Hibike_Euphonium_2,1
189,Kaiba,2018,other,completed,TV,dl,https://myanimelist.net/anime/3701/,1
190,Kiniro Mosaic,2018,other,completed,TV,dl,https://myanimelist.net/anime/16732/Kiniro_Mosaic,1
191,Nana,2018,other,completed,TV,dl,https://myanimelist.net/anime/877/Nana,1
192,Nekojiru-sou,2018,other,completed,OVA,dl,https://myanimelist.net/anime/601/,1
193,Redline,2018,other,completed,Movie,dl,https://myanimelist.net/anime/6675/Redline,1
194,Renkin San-kyuu Magical? Pokaan,2018,other,completed,TV,dl,https://myanimelist.net/anime/941/Renkin_San-kyuu_Magical_Pokaan,1
195,Renkin San-kyuu Magical? Pokaan Specials,2018,other,completed,Special,,https://myanimelist.net/anime/1489/Renkin_San-kyuu_Magical_Pokaan_Specials,1
196,Tsubasa Chronicle,2018,other,completed,TV,,https://myanimelist.net/anime.php?id=177,1
197,Tsubasa Chronicle 2nd Season,2018,other,completed,TV,,https://myanimelist.net/anime/969/Tsubasa_Chronicle_2nd_Season,1
198,Tsubasa RESERVoir CHRoNiCLE: Tokyo Revelations,2018,other,completed,OVA,,https://myanimelist.net/anime/2685/Tsubasa__Tokyo_Revelations,1
199,Tsubasa: Shunraiki,2018,other,completed,OVA,,https://myanimelist.net/anime/4938/Tsubasa__Shunraiki,1
200,Yuru Camp△ Season 2,2018,other,completed,TV,,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2,1
201,Zombieland Saga Revenge,2018,other,completed,TV,,https://myanimelist.net/anime/40174/Zombieland_Saga_Revenge,1
202,Demi-chan wa Kataritai,2017,winter,completed,TV,dl,https://myanimelist.net/anime/33988/Demi-chan_wa_Kataritai,1
